id	lat	lng
83625	-12.026127297024912	-77.00312081724871
85026	-12.160217096688154	-76.95908066448038
85075	-12.145758918315416	-77.02170945310587
85302	-12.147084728920838	-77.01447343128285
85385	-12.188610142967265	-76.92729373845185
85393	-12.184790183022344	-77.00619342141607
89146	-12.113560455476708	-77.01856855841652
89294	-11.915335333304647	-77.04825973044967
89297	-12.090542944839049	-77.0334554277897
89314	-12.069130583195662	-77.04917532321628
89348	-12.069916615296782	-77.09582540733572
89349	-12.08280503219985	-77.02988217299941
89371	-11.983562782814595	-77.07212340000001
89388	-12.06912304448124	-77.02056299786437
89493	-12.11266075973138	-77.00028643073301
89637	-11.955401112248678	-77.04741366725796
89697	-12.081557343476133	-77.0401557297157
89811	-12.048440493643726	-77.0393664484684
89959	-12.052620362863601	-77.04244216389833
90019	-12.07156785777905	-77.07206491939439
90141	-12.080304924263903	-77.03893285116146
90179	-12.039916406807333	-77.07736600674593
90246	-12.028876679780904	-77.03139375767216
90288	-12.05518480588686	-77.04932098809184
90346	-12.113772931601366	-77.02822480707448
90384	-12.118936685609137	-77.03514407604428
90588	-11.974493507490207	-77.06965867312164
90669	-12.009631196489392	-77.05360781698505
90815	-12.032036752320284	-77.07315441313278
90836	-12.071157238685153	-77.06197952642822
92121	-12.170775327277507	-76.9458632615333
92125	-12.157258284071528	-76.93755849573023
92173	-12.164026836742451	-76.94734346300203
92450	-12.0474512	-77.03569929999998
92516	-12.033319178955658	-77.04375304554719
92598	-12.066342015964082	-77.04830135606687
92615	-12.084214522335568	-77.061628378526
92649	-12.081771796838481	-76.99728824657643
92664	-12.14040557380324	-76.9483249129944
92672	-12.18726816537274	-77.00795625365294
92753	-12.044965298189041	-77.03958986509048
92757	-12.064492942790585	-77.0135378620692
92949	-12.082226472925425	-77.03588179395626
92980	-12.062320877011823	-77.02713310674585
93415	-12.150652962671083	-76.98103936137693
93541	-12.147638640412799	-77.0213170241093
95271	-11.937385525794236	-76.9704044243042
95369	-12.083900706095951	-76.89765207976234
95487	-12.046724041476192	-76.96843836355771
97128	-12.068208264152661	-76.97531842895205
97226	-12.025188754128656	-76.89353251166995
